Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
19462;Amara;Awi Agew;KOSOBER;Kida maja 15 km Koso Ber to Chagni;10-56-11-N;36-51-10-E;5;51;96;45;25;2;3
19463;Amara;Awi Agew;KOSOBER;Arsegemda 25 km Koso Ber to Chagni;10-57-31-N;36-49-02-E;5;51;96;45;23;2;2
19464;Amara;Awi Agew;KOSOBER;Drsegemda 25 km Koso Ber to Chagni;10-57-04-N;36-47-32-E;5;43;94;51;21;2;3
19465;Amara;Awi Agew;BANJA;Ziggomerta 34 km Koso Ber to Chagni;10-57-04-N;36-47-32-N;5;44;94;50;24;2;3
19466;Amara;Awi Agew;BANJA;Senkesa 33 km Koso Ber to Chagni;10-57-31-N;36-46-48-E;5;44;95;51;18;2;2
19467;Amara;Awi Agew;BANJA;Senkesa Dinkara 31 km Koso Ber to Chagni;10-58-06-N;36-46-20-E;7;50;96;46;23;2;2
19468;Amara;Awi Agew;BANJA;Askuma 36 km Koso Ber to Chagni;10-58-54-N;36-45-10-E;7;48;93;45;40;2;2
19469;Amara;Awi Agew;BANJA;Senkesa 37 km Koso Ber to Chagni;10-59-00-N;37-44-43-E;8;48;94;46;38;2;2
19470;Amara;Awi Agew;BANJA;Senkesa 39 km Koso Ber to Chagni;10-59-07-N;36-44-12-E;5;45;94;49;36;2;2
19471;Amara;Awi Agew;BANJA;Fuferi Abesectum 42 km Kosober;11-00-11-N;36-41-18-E;7;44;95;51;33;2;2
19472;Benishangul & Gumuz;Metekel;METEKEL;Dangula 45 km Koso Ber to Chagni;11-00-28-N;35-39-39-E;8;44;94;50;40;2;2
19473;Benishangul & Gumuz;Metekel;METEKEL;Angoy 46 km Koso Ber to Melekele;11-00-49-N;35-39-26-E;8;43;94;51;30;2;2
19474;Amara;Awi Agew;FAGGETA LEKOMA;Wenbere 6 km from Koso Ber to Dangella;11-01-18-N;36-54-51-E;8;50;96;46;19;2;2
19475;Amara;Awi Agew;ENJEBARA;Abo Derta 7 km from  Koso Ber to SW of Dangella;11-01-26-N;36-54-41-E;7;50;96;46;16;2;2
19476;Amara;Awi Agew;ENJEBARA;Abo Derta 9 km from  Koso Ber to SW of Dangella;11-09-22-N;36-50-39-E;7;50;96;46;30;3;2
19477;Amara;Awi Agew;ENJEBARA;Enduha Yohanis 12 km from  Koso Ber to Dangella;11-04-19-N;36-34-44-E;5;46;95;49;40;3;2
19478;Amara;Awi Agew;FAGGETA LEKOMA;Enduha Yohanis 14 km from  Koso Ber to SW of Dangella;11-02-08-N;36-54-33-E;5;51;96;45;40;3;4
19479;Amara;Awi Agew;FAGGETA LEKOMA;Enduha Yohanis 14 km from  Koso Ber to SW of Dangella;11-03-02-N;36-53-56-E;7;49;96;47;40;3;4
19480;Amara;Awi Agew;FAGGETA LEKOMA;Abla Ledeta 16 km from  Koso Ber to Dangella rd;11-08-04-N;36-51-50-E;7;48;95;47;35;2;3
19481;Amara;Awi Agew;FAGGETA LEKOMA;Abla Ledeta 18 km from  Koso Ber to SW of Dangella;11-05-16-N;37-58-04-E;7;48;95;47;18;2;3
19482;Amara;Awi Agew;FAGGETA LEKOMA;Webesta 21 km from  Koso Ber to SE of Dangella;11-07-03-N;36-52-25-E;7;45;90;45;28;2;2
19483;Amara;Awi Agew;ADDIS KIDAME;Ashewa 23 km from  Koso Ber to  Dangella;11-07-36-N;36-52-11-E;8;47;90;43;25;2;2
19484;Amara;Awi Agew;ADDIS KIDAME;Kess Mender 23 km from  Koso Ber to  Dangella;11-08-33-N;36-51-51-E;7;44;94;50;20;2;2
19485;Amara;Awi Agew;FAGGETA LEKOMA;Kess Mender 23 km from  Koso Ber to  Dangella;11-08-33-N;36-51-50-E;7;48;94;46;20;2;3
19486;Amara;Awi Agew;ADDIS KIDAME;Kidanmeheret 25 km from  Koso Ber to  Dangella;11-09-05-N;36-51-54-E;5;43;95;52;20;2;3
19487;Amara;Awi Agew;ADDIS KIDAME;Abugesh 28 km from Kosso ber to Dangella;11-10-01-N;36-50-50-E;8;44;94;50;20;2;2
